Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,0.00,0.00,0.00,1.33,0.89,0.00,0.00,2.22,0.89,0.00,0.00,0.00,8.67,0.89,1.78,33.3,Matches,ad1f61f3
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9.0,0.44,0.00,0.00,1.22,0.44,0.00,0.00,1.56,0.89,0.00,0.00,0.00,5.33,0.78,0.89,46.7,Matches,9260926b
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0.00,0.00,0.00,1.11,1.11,0.00,4.44,0.00,0.00,0.00,0.00,0.00,4.44,2.22,2.22,50.0,Matches,69c5633e
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,0.17,0.00,0.00,0.59,0.34,0.04,0.00,0.89,0.55,0.00,0.00,0.00,6.14,1.40,1.57,47.1,Matches,1a4ef233
81,Amath,sn SEN,MFFW,Mallorca,es La Liga,25,1996,9.8,0.51,0.00,0.00,1.94,1.84,0.61,0.71,0.71,1.12,0.00,0.00,0.00,3.47,0.51,2.04,20.0,Matches,f3b1d9a2
82,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,0.22,0.00,0.00,0.43,0.87,0.00,1.30,3.26,2.17,0.00,0.00,0.00,6.30,2.17,1.96,52.6,Matches,22721b88
83,Jordan Amavi,fr FRA,DFFW,Marseille,fr Ligue 1,27,1994,1.4,0.00,0.00,0.00,2.14,0.71,0.00,1.43,0.71,3.57,0.00,0.00,0.00,2.14,2.14,3.57,37.5,Matches,22721b88
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0.00,0.00,0.00,1.25,2.50,0.00,0.00,3.75,2.50,0.00,0.00,0.00,5.00,3.75,1.25,75.0,Matches,35b4bc62
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,0.31,0.07,0.03,1.22,0.48,0.03,0.82,1.09,1.43,0.00,0.00,0.00,3.57,1.39,0.99,58.6,Matches,bcc81786
86,Nadiem Amiri,de GER,MF,Genoa,it Serie A,24,1996,7.6,0.00,0.00,0.00,0.92,2.50,0.13,2.63,0.00,0.53,0.00,0.00,0.00,5.26,0.39,0.92,30.0,Matches,555d5edd
87,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,24,1996,4.1,0.00,0.00,0.00,0.49,2.68,0.00,1.95,1.22,0.98,0.00,0.00,0.00,7.32,0.24,0.73,25.0,Matches,555d5edd
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,0.51,0.08,0.04,1.81,1.06,0.00,0.79,2.01,1.69,0.00,0.00,0.00,6.18,2.60,1.30,66.7,Matches,10b9fa99
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,0.57,0.00,0.00,2.38,1.33,0.00,0.57,0.48,1.24,0.00,0.00,0.00,6.38,0.57,1.24,31.6,Matches,5a2cb25d
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,0.12,0.00,0.00,0.59,0.25,0.03,0.25,1.14,0.71,0.00,0.00,0.03,4.69,1.73,1.48,53.8,Matches,e34fc66d
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,0.06,0.00,0.00,1.34,1.15,0.22,2.68,0.62,1.40,0.00,0.00,0.00,4.67,0.34,0.62,35.5,Matches,9f1893b9
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,0.21,0.00,0.00,1.64,1.29,0.36,0.64,0.21,0.50,0.00,0.00,0.00,2.29,3.79,4.29,46.9,Matches,b4cf5806
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,0.50,0.00,0.00,1.50,1.00,1.50,0.00,0.00,0.50,0.00,0.00,0.00,3.00,3.50,5.50,38.9,Matches,dc008610
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,0.34,0.00,0.00,1.21,0.17,0.09,1.81,1.64,1.38,0.00,0.09,0.00,6.90,2.41,2.33,50.9,Matches,6ea23758
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,0.39,0.03,0.03,2.19,1.86,0.07,0.62,1.63,2.25,0.00,0.07,0.00,9.67,3.17,2.65,54.5,Matches,ef9c1c95
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,0.26,0.00,0.00,0.77,0.77,0.00,1.28,1.54,2.56,0.00,0.00,0.00,7.44,0.26,1.28,16.7,Matches,3724baa1
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,0.25,0.05,0.00,1.98,0.74,0.10,0.30,1.53,0.84,0.00,0.00,0.00,6.24,1.49,1.19,55.6,Matches,e0b113a7
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,0.17,0.08,0.00,0.83,0.42,0.00,3.83,0.83,1.08,0.00,0.00,0.00,6.50,0.83,0.50,62.5,Matches,3024e383
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,0.12,0.00,0.00,0.59,1.37,0.16,7.33,1.14,0.82,0.00,0.00,0.00,6.08,0.43,0.82,34.4,Matches,30941e96
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,6.67,0.00,0.00,,Matches,39aa05a7
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,0.26,0.00,0.00,1.69,0.52,0.26,7.40,0.78,1.17,0.00,0.00,0.00,4.68,0.39,0.39,50.0,Matches,bbafc0c4
102,Janis Antiste,fr FRA,FWMF,Spezia,it Serie A,18,2002,8.8,0.00,0.00,0.00,1.70,0.68,0.57,1.36,0.45,1.25,0.00,0.00,0.00,4.09,1.82,2.16,45.7,Matches,38d9ce53
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,0.21,0.03,0.00,1.01,0.56,0.03,0.38,1.11,0.90,0.00,0.00,0.00,7.22,2.15,1.81,54.4,Matches,5e66fa06
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,1.67,0.00,0.00,,Matches,4a5f2032
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,0.24,0.03,0.03,1.52,1.58,0.39,1.91,0.09,0.52,0.00,0.00,0.00,2.73,2.39,3.39,41.4,Matches,ac05f970
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,0.16,0.00,0.00,1.19,2.30,0.87,2.30,0.08,1.43,0.08,0.00,0.00,4.21,0.95,3.33,22.2,Matches,0a3f6cde
107,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,23,1998,27.8,0.04,0.00,0.00,0.97,1.40,0.11,0.76,0.72,1.08,0.00,0.00,0.00,5.58,0.22,0.76,22.2,Matches,a5db0bec
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12.0,0.17,0.00,0.00,0.83,1.08,0.17,5.67,1.42,0.50,0.00,0.00,0.00,6.42,0.83,1.42,37.0,Matches,b94b8be1
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,0.17,0.00,0.00,1.67,0.17,0.09,1.63,1.16,1.46,0.00,0.04,0.04,4.21,1.29,1.67,43.5,Matches,feb5d3ab
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,0.44,0.00,0.00,1.72,1.62,0.00,3.92,1.08,1.25,0.00,0.03,0.00,6.15,0.91,0.88,50.9,Matches,58afe001
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,0.26,0.00,0.00,1.24,3.48,0.30,6.18,0.34,0.64,0.04,0.04,0.00,3.91,0.47,1.16,28.9,Matches,0847b5a5
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,0.11,0.00,0.00,1.49,0.74,0.00,0.51,1.89,1.43,0.00,0.00,0.00,7.37,0.40,0.91,30.4,Matches,56413b1f
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,0.14,0.00,0.00,0.65,0.34,0.00,0.10,0.93,0.48,0.00,0.00,0.03,5.50,2.16,1.65,56.8,Matches,27a013f7
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,0.24,0.00,0.00,0.99,0.48,0.04,0.28,0.91,0.91,0.00,0.00,0.00,5.36,2.38,0.95,71.4,Matches,2bef2bca
115,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,19,2001,0.3,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,3.33,50.0,Matches,05e8ca6d
