Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,32,21,1837,20.4,0.20,0.05,0.20,0.00,0.00,0.29,0.10,0.20,0.05,0.24,0.20,0.24,0.32,0.32,0.13,0.45,0.32,0.13,0.45,0.32,0.45,Matches,f8405304
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,3240,36.0,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.03,Matches,7a2e46a8
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,28,25,2183,24.3,0.00,0.08,0.00,0.00,0.00,0.29,0.04,0.00,0.08,0.08,0.00,0.08,0.01,0.01,0.05,0.06,0.01,0.05,0.06,0.01,0.06,Matches,cc700722
68,Jim Allevinah,ga GAB,MFFW,Clermont Foot,fr Ligue 1,26,1995,30,13,1488,16.5,0.06,0.12,0.06,0.00,0.00,0.06,0.00,0.06,0.12,0.18,0.06,0.18,0.21,0.21,0.12,0.33,0.21,0.12,0.33,0.21,0.33,Matches,1956b948
69,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,10,8,657,7.3,0.14,0.00,0.00,0.14,0.14,0.14,0.00,0.14,0.00,0.14,0.00,0.00,0.22,0.11,0.03,0.14,0.22,0.03,0.24,0.11,0.14,Matches,cea4ee8f
70,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25,1996,11,1,338,3.8,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.11,0.16,0.04,0.10,0.15,0.04,0.15,Matches,cea4ee8f
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,30,19,1716,19.1,0.05,0.00,0.05,0.00,0.00,0.10,0.00,0.05,0.00,0.05,0.05,0.05,0.13,0.13,0.07,0.20,0.13,0.07,0.20,0.13,0.20,Matches,862a1c15
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,28,25,2167,24.1,0.17,0.17,0.17,0.00,0.00,0.33,0.00,0.17,0.17,0.33,0.17,0.33,0.15,0.15,0.22,0.37,0.15,0.22,0.36,0.15,0.36,Matches,f4290206
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,19,17,1466,16.3,0.06,0.00,0.06,0.00,0.00,0.31,0.00,0.06,0.00,0.06,0.06,0.06,0.08,0.08,0.04,0.12,0.08,0.03,0.12,0.08,0.12,Matches,aa5322d5
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,1,0,11,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,2.00,1.57,0.00,1.57,1.57,1.57,Matches,6f392eb8
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,22,21,1860,20.7,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.04,0.03,0.01,0.04,0.03,0.04,Matches,3ecc11d8
