Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
53,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16.0,1.56,0.06,0.00,0.06,0.00,1.21,0.32,-0.36,-0.36,4.19,12.7,33.0,17.6,2.88,38.3,36.3,8.31,71.4,48.9,13.9,0.31,2.2,0.63,0.63,15.4,Matches,fbf83734
54,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26.0,1.35,0.04,0.00,0.27,0.04,1.31,0.32,0.00,0.00,7.96,19.1,41.6,23.3,3.38,46.3,37.0,9.08,91.9,60.5,13.8,0.85,6.1,0.54,0.54,11.9,Matches,3a949a25
55,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37.0,0.70,0.03,0.00,0.03,0.00,0.69,0.30,-0.01,-0.01,2.35,4.92,47.8,26.7,4.46,15.7,25.7,3.73,19.6,26.8,8.11,0.57,7.0,1.49,1.49,19.0,Matches,3bb7b8b4
56,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3.2,1.88,0.63,0.00,0.00,0.00,1.31,0.14,-0.56,-0.57,10.9,27.5,39.8,28.4,4.06,64.8,44.0,11.6,78.4,51.2,12.8,0.94,7.3,3.13,3.17,16.1,Matches,67669ce7
57,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3.0,2.33,0.67,0.00,0.33,0.00,2.83,0.32,0.50,+0.51,6.67,21.7,30.8,34.7,3.33,41.3,36.1,10.0,73.3,48.3,17.3,0.33,1.9,0.33,0.33,10.7,Matches,83e0eeb4
58,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37.0,1.35,0.05,0.05,0.22,0.05,1.26,0.26,-0.03,-0.03,5.22,14.2,36.8,19.9,4.43,48.9,38.2,7.49,59.6,44.4,16.1,0.76,4.7,0.32,0.32,10.4,Matches,9328b835
59,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,1.47,0.11,0.00,0.00,0.11,1.24,0.20,-0.13,-0.13,6.63,15.8,42.0,29.9,4.42,34.5,33.2,7.79,70.3,45.0,17.3,0.74,4.3,0.21,0.21,10.2,Matches,9f5a610b
60,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,1.22,0.08,0.00,0.08,0.00,1.06,0.28,-0.16,-0.16,2.03,6.67,30.5,18.0,4.96,30.3,30.6,6.67,18.3,24.4,12.9,1.22,9.4,1.71,1.71,16.6,Matches,2c127b6f
61,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13.0,2.23,0.08,0.00,0.62,0.00,1.81,0.27,-0.42,-0.42,4.54,11.8,38.3,22.0,5.08,41.6,36.2,7.08,38.0,34.9,13.6,0.69,5.1,1.62,1.62,18.1,Matches,a01c3d54
62,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12.0,2.00,0.08,0.00,0.42,0.17,1.66,0.28,-0.18,-0.17,5.33,18.0,29.6,36.1,5.00,40.4,33.9,6.92,49.4,36.9,16.2,0.75,4.6,1.50,1.50,16.8,Matches,f127d782
