Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,35b4bc62
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,34,1.16,22,3,3,3,2,1,1,0.03,1,0,0,0,0,0,Matches,bcc81786
86,Nadiem Amiri,de GER,MF,Genoa,it Serie A,24,1996,7.6,29,3.83,23,4,1,0,1,0,1,0.13,1,0,0,0,0,0,Matches,555d5edd
87,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches,555d5edd
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,41,1.62,35,4,1,0,0,1,7,0.28,5,1,0,0,0,1,Matches,10b9fa99
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,17,1.62,16,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,5a2cb25d
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,31,0.96,28,1,0,1,0,1,4,0.12,3,0,0,1,0,0,Matches,e34fc66d
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,116,3.62,86,3,10,5,9,3,18,0.56,12,0,4,2,0,0,Matches,9f1893b9
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,20,1.43,16,0,0,1,2,1,4,0.29,3,0,0,0,1,0,Matches,b4cf5806
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,4,2.05,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dc008610
